iter	RMSE
119	0.2837198355
120	0.2837171746
121	0.2836822455
122	0.2836513805
123	0.2836268568
124	0.2836173498
125	0.2835614944
126	0.283559059
127	0.2835047498
128	0.2834710433
129	0.2834298897
130	0.283400792
131	0.2834000378
132	0.2833958231
133	0.2833683524
134	0.2833388897
135	0.2833037757
136	0.2832745341
137	0.2832328224
138	0.2831889764
139	0.2831713262
140	0.2831677873
141	0.2831220787
142	0.2831087322
143	0.2830957443
144	0.2830831041
145	0.283045132
146	0.2830328385
147	0.2829734055
148	0.2829567464
149	0.2829167028
150	0.2828820767
151	0.282867099
152	0.2828062685
153	0.2827830191
154	0.2827758881
155	0.2827650669
156	0.2827560531
157	0.2827287666
158	0.2826884337
159	0.2826720855
160	0.2826207856
161	0.2826012026
162	0.282574507
163	0.2825527274
164	0.2825394495
165	0.2825172534
166	0.2824837678
167	0.2824627631
168	0.2824346024
169	0.2824067863
170	0.2824008163
171	0.282396682
172	0.2823846034
173	0.2823539313
174	0.2823510024
175	0.2823402976
176	0.2823147855
177	0.282290176
178	0.2822889827
179	0.2822446073
180	0.2822218428
181	0.2821775845
182	0.2821697735
183	0.282153989
184	0.2821269548
185	0.2821101693
186	0.2820722494
187	0.2820370432
188	0.2820017411
189	0.2819947155
190	0.2819711964
191	0.281961932
192	0.2819373927
193	0.2819133785
194	0.2818934604
195	0.2818708693
196	0.2818573733
197	0.2818205404
198	0.2818046571
199	0.2817912924
200	0.281778389
201	0.2817659274
202	0.2817467276
203	0.2817317303
204	0.2817264777
205	0.2817213643
206	0.2816930223
207	0.2816867323
208	0.2816692981
209	0.2816683511
210	0.2816575459
211	0.2816404039
212	0.2816229123
213	0.2816066285
214	0.2815963284
215	0.2815801404
216	0.2815538845
217	0.2815440582
218	0.2815190697
219	0.2814902324
220	0.281489437
221	0.2814745903
222	0.2814515776
223	0.2814427674
224	0.2814348867
225	0.2814273464
226	0.2814130927
227	0.2813993869
228	0.2813924419
229	0.2813794315
230	0.2813640258
231	0.2813566613
232	0.2813485136
233	0.2813449272
234	0.281331409
235	0.2813190802
236	0.2813061441
237	0.2812852551
238	0.2812735777
239	0.2812620125
240	0.2812550129
241	0.2812480021
242	0.281241225
243	0.2812358501
244	0.2812159557
245	0.2812138548
246	0.2811913116
247	0.2811848505
248	0.2811668054
249	0.2811604965
250	0.2811545437
251	0.2811485393
252	0.2811386347
253	0.2811274593
254	0.2811220502
255	0.2811113761
256	0.2811004961
257	0.2810948004
258	0.2810892113
259	0.2810692711
260	0.2810595052
261	0.2810542873
262	0.2810444071
263	0.2810259534
264	0.2810077743
265	0.2809905563
266	0.2809730567
267	0.2809678952
268	0.2809599083
269	0.2809511842
270	0.2809429172
271	0.2809389334
272	0.2809230639
273	0.2809186669
274	0.2809139821
275	0.280909414
276	0.2809013631
277	0.2808969761
278	0.2808839209
279	0.2808796996
280	0.2808756286
281	0.2808725869
282	0.2808687015
283	0.2808547118
284	0.280850988
285	0.2808473937
286	0.2808400645
287	0.280836605
288	0.2808317431
289	0.2808244663
290	0.2808217193
291	0.2808156274
292	0.2808088634
293	0.2808054597
294	0.2808023251
295	0.2807992972
296	0.2807933335
297	0.280790449
298	0.2807876147
299	0.2807846254
300	0.2807830263
301	0.2807822231
302	0.2807795604
303	0.2807767156
304	0.2807704321
305	0.2807678709
306	0.2807615811
307	0.280759383
308	0.2807565132
309	0.280752719
310	0.2807467475
311	0.2807325401
312	0.280720532
313	0.2807187084
314	0.2807137254
315	0.2807114464
316	0.2807012945
317	0.2806965251
318	0.2806911447
319	0.2806794218
320	0.2806761375
321	0.2806709629
322	0.2806659788
323	0.2806615458
324	0.2806506681
325	0.2806381614
326	0.2806304827
327	0.2806252642
328	0.2806180417
329	0.2806160869
330	0.280613269
331	0.2806038402
332	0.2806019007
333	0.2805928728
334	0.2805907529
335	0.2805887016
336	0.2805805687
337	0.2805785953
338	0.2805746575
339	0.2805706971
340	0.2805669273
341	0.2805630693
342	0.2805594956
343	0.2805573959
344	0.2805557702
345	0.2805475266
346	0.280545747
347	0.2805421756
348	0.2805401945
349	0.2805324176
350	0.2805303029
351	0.2805274807
352	0.2805183433
353	0.2805089962
354	0.2805051548
355	0.280503683
356	0.2804968574
357	0.2804950684
358	0.2804949587
359	0.2804919336
360	0.2804890185
361	0.2804804253
362	0.2804791032
363	0.2804729316
364	0.2804716483
365	0.2804635744
366	0.2804606409
367	0.2804594107
368	0.2804577659
369	0.2804563688
370	0.280450658
371	0.2804493112
372	0.2804477789
373	0.2804449396
374	0.2804437157
375	0.2804412935
376	0.2804386598
377	0.2804375252
378	0.2804352095
379	0.2804329804
380	0.2804318916
381	0.2804308178
382	0.2804286696
383	0.2804238142
384	0.2804217749
385	0.2804157351
386	0.2804137613
387	0.2804124691
388	0.2804111193
389	0.2804062534
390	0.28040371
391	0.2804012881
392	0.2804005868
393	0.280398286
394	0.2803936384
395	0.2803934154
396	0.2803927339
397	0.2803904427
398	0.2803887393
399	0.2803866468
400	0.2803850532
401	0.2803843214
402	0.2803789181
403	0.2803782069
404	0.2803781299
405	0.2803773258
406	0.2803758528
407	0.280374427
408	0.2803733717
409	0.2803691169
410	0.2803676249
411	0.2803628958
412	0.2803608779
413	0.2803600151
414	0.2803594897
415	0.2803580569
416	0.2803573546
417	0.2803518675
418	0.2803518291
419	0.2803500692
420	0.2803455434
421	0.280344991
422	0.2803442316
423	0.2803437017
424	0.2803428525
425	0.2803420765
426	0.2803403438
427	0.2803395795
428	0.2803386733
429	0.2803374215
430	0.2803345102
431	0.2803333085
432	0.2803321512
433	0.2803310361
434	0.2803294741
435	0.2803287381
436	0.2803270475
437	0.2803236553
438	0.2803226092
439	0.2803193986
440	0.2803184272
441	0.2803137977
442	0.2803131785
443	0.2803087404
444	0.2803044878
445	0.2803004112
446	0.2803002816
447	0.2802995055
448	0.280296186
449	0.2802936162
450	0.2802926281
451	0.2802917424
452	0.2802909566
453	0.2802896604
454	0.2802889976
455	0.2802881806
456	0.2802851062
457	0.280284492
458	0.2802839037
459	0.2802815285
460	0.2802780354
461	0.2802772252
462	0.2802751618
463	0.2802744236
464	0.2802717766
465	0.2802710637
466	0.2802704967
467	0.2802679169
468	0.2802677882
469	0.2802672942
470	0.2802648673
471	0.2802643721
472	0.2802620601
473	0.2802597809
474	0.2802584073
475	0.2802562403
476	0.2802555677
477	0.2802545715
478	0.2802537533
479	0.2802519326
480	0.2802514142
481	0.2802505039
482	0.2802478626
483	0.2802478411
484	0.2802466347
485	0.2802451341
486	0.280244491
487	0.2802438952
488	0.2802427517
489	0.2802422882
490	0.2802408243
491	0.2802380012
492	0.2802373838
493	0.2802356102
494	0.280233871
495	0.2802316524
496	0.2802310807
497	0.2802296572
498	0.2802275578
499	0.2802265444
500	0.2802262801
501	0.2802258755
502	0.2802258113
503	0.2802252742
504	0.2802232686
505	0.280222905
506	0.2802224097
507	0.2802219106
508	0.2802215467
509	0.2802212381
510	0.2802189043
511	0.2802185161
512	0.2802180484
513	0.28021678
514	0.2802164936
515	0.2802162554
516	0.2802154963
517	0.2802140857
518	0.2802128983
519	0.2802117155
520	0.280211489
521	0.2802110289
522	0.2802105435
523	0.2802102928
524	0.2802100913
525	0.2802096621
526	0.2802093253
527	0.2802076266
528	0.2802071839
529	0.2802067666
530	0.2802063666
531	0.2802059403
532	0.2802043168
