Time,subsurface_temperature(mean within 1h),wind_direction(most frequent)
2023-01-01 00:00:00-06:00,29.794999999999998,WSW
2023-01-01 06:00:00-06:00,29.441971830985917,WSW
2023-01-01 12:00:00-06:00,29.61114285714286,WSW
2023-01-01 18:00:00-06:00,29.845000000000002,N
2023-01-02 00:00:00-06:00,28.830985915492956,N
2023-01-02 06:00:00-06:00,28.162499999999998,SW
2023-01-02 12:00:00-06:00,28.16,N
2023-01-02 18:00:00-06:00,28.418,NE
2023-01-03 00:00:00-06:00,28.24086956521739,NE
2023-01-03 06:00:00-06:00,27.85731343283582,NE
2023-01-03 12:00:00-06:00,27.70281690140845,NE
2023-01-03 18:00:00-06:00,27.985,NE
2023-01-04 00:00:00-06:00,28.415882352941175,NE
2023-01-04 06:00:00-06:00,28.73211267605634,NE
2023-01-04 12:00:00-06:00,29.352500000000003,NNE
2023-01-04 18:00:00-06:00,29.82173913043478,NNE
2023-01-05 00:00:00-06:00,29.630000000000003,NNE
2023-01-05 06:00:00-06:00,29.28225352112676,NNE
2023-01-05 12:00:00-06:00,29.465,N
2023-01-05 18:00:00-06:00,29.411549295774652,N
2023-01-06 00:00:00-06:00,28.364507042253518,N
2023-01-06 06:00:00-06:00,26.9975,W
2023-01-06 12:00:00-06:00,26.341408450704225,WSW
2023-01-06 18:00:00-06:00,26.187058823529412,SW
2023-01-07 00:00:00-06:00,24.038857142857143,WSW
2023-01-07 06:00:00-06:00,21.9325,WSW
2023-01-07 12:00:00-06:00,22.1525,SSW
2023-01-07 18:00:00-06:00,23.782608695652176,WSW
2023-01-08 00:00:00-06:00,22.470140845070425,SW
2023-01-08 06:00:00-06:00,20.824571428571428,SW
2023-01-08 12:00:00-06:00,21.70608695652174,SW
2023-01-08 18:00:00-06:00,23.631304347826084,SW
2023-01-09 00:00:00-06:00,22.928,WSW
2023-01-09 06:00:00-06:00,21.834999999999997,ENE
2023-01-09 12:00:00-06:00,23.18257142857143,SE
2023-01-09 18:00:00-06:00,25.915999999999997,WSW
2023-01-10 00:00:00-06:00,26.662608695652175,WSW
2023-01-10 06:00:00-06:00,26.49457142857143,WSW
2023-01-10 12:00:00-06:00,27.01142857142857,WSW
2023-01-10 18:00:00-06:00,27.81114285714286,SW
2023-01-11 00:00:00-06:00,27.86,SE
2023-01-11 06:00:00-06:00,28.024788732394367,ENE
2023-01-11 12:00:00-06:00,28.9725,N
2023-01-11 18:00:00-06:00,29.96676056338028,N
2023-01-12 00:00:00-06:00,29.939999999999998,N
2023-01-12 06:00:00-06:00,29.34,N
2023-01-12 12:00:00-06:00,29.1175,N
2023-01-12 18:00:00-06:00,28.924999999999997,N
2023-01-13 00:00:00-06:00,27.959999999999997,NE
2023-01-13 06:00:00-06:00,27.1875,NNE
2023-01-13 12:00:00-06:00,27.195,SW
2023-01-13 18:00:00-06:00,27.192500000000003,SSW
2023-01-14 00:00:00-06:00,26.0625,S
2023-01-14 06:00:00-06:00,25.03,SSE
2023-01-14 12:00:00-06:00,26.07,S
2023-01-14 18:00:00-06:00,28.02,SSW
2023-01-15 00:00:00-06:00,28.3175,SSW
2023-01-15 06:00:00-06:00,28.055,SSW
2023-01-15 12:00:00-06:00,29.634999999999998,SSE
2023-01-15 18:00:00-06:00,31.260000000000005,SSE
2023-01-16 00:00:00-06:00,31.07,ESE
2023-01-16 06:00:00-06:00,31.055,ENE
2023-01-16 12:00:00-06:00,31.407500000000002,NE
2023-01-16 18:00:00-06:00,31.560000000000002,NNE
2023-01-17 00:00:00-06:00,31.225000000000005,N
2023-01-17 06:00:00-06:00,31.112499999999997,N
2023-01-17 12:00:00-06:00,31.459999999999997,N
2023-01-17 18:00:00-06:00,31.64,N
2023-01-18 00:00:00-06:00,31.485,W
2023-01-18 06:00:00-06:00,31.28,NE
2023-01-18 12:00:00-06:00,31.619999999999997,ENE
2023-01-18 18:00:00-06:00,31.805,ENE
2023-01-19 00:00:00-06:00,31.5775,NE
2023-01-19 06:00:00-06:00,31.244999999999997,NNE
2023-01-19 12:00:00-06:00,31.3325,N
2023-01-19 18:00:00-06:00,31.4025,N
2023-01-20 00:00:00-06:00,31.032500000000002,N
2023-01-20 06:00:00-06:00,30.727500000000003,W
2023-01-20 12:00:00-06:00,31.035,WSW
2023-01-20 18:00:00-06:00,30.955000000000002,WSW
2023-01-21 00:00:00-06:00,30.052499999999995,WSW
2023-01-21 06:00:00-06:00,29.285,WSW
2023-01-21 12:00:00-06:00,29.275000000000002,WSW
2023-01-21 18:00:00-06:00,29.567500000000003,WSW
2023-01-22 00:00:00-06:00,29.084999999999997,SW
2023-01-22 06:00:00-06:00,28.4275,NE
2023-01-22 12:00:00-06:00,28.127499999999998,WSW
2023-01-22 18:00:00-06:00,28.1075,SW
2023-01-23 00:00:00-06:00,27.4675,SW
2023-01-23 06:00:00-06:00,26.6075,SW
2023-01-23 12:00:00-06:00,26.78,WSW
2023-01-23 18:00:00-06:00,28.38,WSW
2023-01-24 00:00:00-06:00,28.662499999999998,WSW
2023-01-24 06:00:00-06:00,27.5425,WSW
2023-01-24 12:00:00-06:00,27.7325,SSW
2023-01-24 18:00:00-06:00,29.065000000000005,SW
2023-01-25 00:00:00-06:00,29.14,SW
2023-01-25 06:00:00-06:00,28.775000000000002,N
2023-01-25 12:00:00-06:00,28.86,N
2023-01-25 18:00:00-06:00,28.875,N
2023-01-26 00:00:00-06:00,27.772499999999997,N
2023-01-26 06:00:00-06:00,25.59,N
2023-01-26 12:00:00-06:00,25.2075,WSW
2023-01-26 18:00:00-06:00,25.877464788732393,SSW
2023-01-27 00:00:00-06:00,25.3525,SW
2023-01-27 06:00:00-06:00,25.945,N
2023-01-27 12:00:00-06:00,27.6,N
2023-01-27 18:00:00-06:00,28.0125,W
2023-01-28 00:00:00-06:00,25.61,N
2023-01-28 06:00:00-06:00,23.5175,NNE
2023-01-28 12:00:00-06:00,22.9575,NNE
2023-01-28 18:00:00-06:00,22.9125,N
2023-01-29 00:00:00-06:00,21.4125,N
2023-01-29 06:00:00-06:00,19.895,NNW
2023-01-29 12:00:00-06:00,19.862499999999997,WSW
