Time,subsurface_temperature(mean within 1h),wind_direction(most frequent)
2023-01-01 00:00:00-06:00,29.61972027972028,WSW
2023-01-01 12:00:00-06:00,29.729718309859155,WSW
2023-01-02 00:00:00-06:00,28.494405594405592,W
2023-01-02 12:00:00-06:00,28.289928057553954,NE
2023-01-03 00:00:00-06:00,28.05191176470588,NE
2023-01-03 12:00:00-06:00,27.8448951048951,NE
2023-01-04 00:00:00-06:00,28.577410071942445,NE
2023-01-04 12:00:00-06:00,29.582127659574468,NNE
2023-01-05 00:00:00-06:00,29.457342657342654,NNE
2023-01-05 12:00:00-06:00,29.43846153846154,N
2023-01-06 00:00:00-06:00,27.676223776223775,WSW
2023-01-06 12:00:00-06:00,26.26589928057554,WSW
2023-01-07 00:00:00-06:00,22.970845070422538,WSW
2023-01-07 12:00:00-06:00,22.950212765957446,WSW
2023-01-08 00:00:00-06:00,21.653191489361703,SW
2023-01-08 12:00:00-06:00,22.668695652173913,SW
2023-01-09 00:00:00-06:00,22.373802816901406,ENE
2023-01-09 12:00:00-06:00,24.549285714285716,WSW
2023-01-10 00:00:00-06:00,26.577985611510794,WSW
2023-01-10 12:00:00-06:00,27.411285714285714,WSW
2023-01-11 00:00:00-06:00,27.94239436619718,ENE
2023-01-11 12:00:00-06:00,29.466153846153844,N
2023-01-12 00:00:00-06:00,29.64,N
2023-01-12 12:00:00-06:00,29.021250000000002,N
2023-01-13 00:00:00-06:00,27.57375,NNE
2023-01-13 12:00:00-06:00,27.19375,SSW
2023-01-14 00:00:00-06:00,25.54625,SSE
2023-01-14 12:00:00-06:00,27.045,SSW
2023-01-15 00:00:00-06:00,28.186249999999998,SSW
2023-01-15 12:00:00-06:00,30.447500000000005,SSE
2023-01-16 00:00:00-06:00,31.0625,ENE
2023-01-16 12:00:00-06:00,31.48375,NE
2023-01-17 00:00:00-06:00,31.168750000000003,N
2023-01-17 12:00:00-06:00,31.549999999999997,N
2023-01-18 00:00:00-06:00,31.383216783216785,W
2023-01-18 12:00:00-06:00,31.712500000000002,ENE
2023-01-19 00:00:00-06:00,31.411250000000003,NE
2023-01-19 12:00:00-06:00,31.3675,N
2023-01-20 00:00:00-06:00,30.880000000000003,N
2023-01-20 12:00:00-06:00,30.994999999999997,WSW
2023-01-21 00:00:00-06:00,29.668750000000003,WSW
2023-01-21 12:00:00-06:00,29.42125,WSW
2023-01-22 00:00:00-06:00,28.756249999999998,N
